X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.0249157481962,38.9376147134456,23173913,2023/10/22 08:38:29+00,MIDNIGHT,GUN,ROBBERY,828 - 899 BLOCK OF QUINCY STREET NW,397840.05,141080.28,4,4C,4,404,Cluster 18,002503 2,002503,Precinct 49,38.9376069186,-77.0249134546,,2023/10/22 07:44:00+00,2023/10/22 07:50:00+00,431648075,
-77.0233002701335,38.9295372096197,23173933,2023/10/22 09:25:30+00,MIDNIGHT,GUN,ROBBERY,3100 - 3199 BLOCK OF GEORGIA AVENUE NW,397979.88,140183.57,1,1E,4,409,Cluster 2,003100 1,003100,Precinct 38,38.9295294163,-77.0232979775,,2023/10/22 08:14:00+00,2023/10/22 08:16:00+00,431648076,
-77.0219173366497,38.9133561827876,23173972,2023/10/22 16:37:46+00,DAY,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF 7TH STREET NW,398099.36,138387.31,2,2G,3,307,Cluster 7,004901 1,004901,Precinct 21,38.9133483927,-77.0219150455,,2023/10/22 11:59:00+00,2023/10/22 13:01:00+00,431648077,
-77.0588789953229,38.9362028291005,23174433,2023/10/23 12:59:15+00,DAY,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9361950358,-77.0588766912,,2023/10/23 11:13:00+00,2023/10/23 12:06:00+00,431648078,
-77.0288578342603,38.9037453810219,23174904,2023/10/24 04:43:59+00,MIDNIGHT,GUN,ROBBERY,1200 - 1299 BLOCK OF L STREET NW,397497.09,137320.6,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 17,38.9037375931,-77.0288555415,DOWNTOWN,2023/10/24 01:40:00+00,2023/10/24 01:41:00+00,431648079,
-76.976222523649,38.8926614648672,23175326,2023/10/24 23:07:24+00,EVENING,OTHERS,ROBBERY,200 - 299 BLOCK OF 20TH STREET NE,402062.96,136090.07,7,7D,1,108,Cluster 25,008002 1,008002,Precinct 86,38.8926536773,-76.976220248,,2023/10/24 22:00:00+00,2023/10/24 22:05:00+00,431648080,
-77.0319639780179,38.9007791113343,23175358,2023/10/24 23:56:46+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,800 - 899 BLOCK OF 14TH STREET NW,397227.55,136991.41,2,2C,2,209,Cluster 8,010100 3,010100,Precinct 129,38.9007713242,-77.0319616845,DOWNTOWN,2023/10/24 23:02:00+00,2023/10/24 23:05:00+00,431648081,
-77.0852905898106,38.9599197636489,23175763,2023/10/29 14:48:19+00,DAY,OTHERS,THEFT F/AUTO,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,392607.98,143559.5,3,3E,2,202,Cluster 11,001100 2,001100,Precinct 32,38.9599119666,-77.085288276,,2023/10/25 17:21:00+00,2023/10/25 19:47:00+00,431648082,
-76.9751063057493,38.9225602101599,23176914,2023/10/27 18:56:13+00,DAY,OTHERS,THEFT F/AUTO,2500 - 2599 BLOCK OF LAFAYETTE AVENUE NE,402158.89,139409.1,5,5C,5,505,Cluster 22,011100 3,011100,Precinct 72,38.9225524165,-76.9751040286,,2023/10/22 01:00:00+00,2023/10/22 05:30:00+00,431648083,
-77.0028163616133,38.8748948089184,23176921,2023/10/27 18:21:14+00,DAY,OTHERS,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF TINGEY STREET SE,399755.81,134117.57,8,8F,1,106,Cluster 27,007201 4,007201,Precinct 131,38.8748870259,-77.0028140787,CAPITOL RIVERFRONT,2023/10/27 17:20:00+00,2023/10/27 17:21:00+00,431648084,
-76.9803888921914,38.8996229134364,23177094,2023/10/28 00:00:42+00,EVENING,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701.35,136862.76,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996151246,-76.9803866148,,2023/10/27 22:38:00+00,2023/10/28 00:00:00+00,431648085,
-77.0005735118373,38.9007720426214,23424213,2023/11/02 11:02:33+00,DAY,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF 4TH STREET NE,399950.45,136990.14,6,6C,1,104,Cluster 25,010602 3,010602,Precinct 83,38.9007642543,-77.0005712281,,2023/08/31 19:23:00+00,2023/09/01 14:05:00+00,431650331,
-77.002552292195,38.9056537338239,23424240,2023/11/02 16:23:22+00,DAY,OTHERS,THEFT/OTHER,201 - 299 BLOCK OF M STREET NE,399778.82,137532.05,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.9056459446,-77.0025500075,NOMA,2023/10/26 14:00:00+00,2023/10/26 14:30:00+00,431650332,
-76.9989836313177,38.8812813842879,23424420,2023/11/07 18:42:02+00,DAY,OTHERS,THEFT F/AUTO,500 - 599 BLOCK OF G STREET SE,400088.384894035,134826.52489055,6,6B,1,106,Cluster 26,007000 1,007000,Precinct 90,38.8812735997,-76.9989813493,,2023/09/29 04:00:00+00,2023/10/05 04:00:00+00,431650333,
-77.0136747550418,38.9103885593488,23424470,2023/11/08 16:22:12+00,DAY,OTHERS,THEFT/OTHER,100 - 299 BLOCK OF BATES STREET NW,398814.17,138057.74,5,5E,3,308,Cluster 21,004600 2,004600,Precinct 19,38.9103807696,-77.0136724666,,2023/10/22 19:02:00+00,2023/10/22 19:02:00+00,431650334,
-77.0477579125719,38.8973620748927,23424547,2023/11/09 17:22:12+00,DAY,OTHERS,THEFT F/AUTO,2100 - 2199 BLOCK OF F STREET NW,395857.34,136612.69,2,2A,2,207,Cluster 5,010800 3,010800,Precinct 2,38.897354289,-77.0477556143,,2023/10/24 21:00:00+00,2023/10/24 21:00:00+00,431650335,
-76.9915285664115,38.8834566155038,23424695,2023/11/14 11:42:33+00,MIDNIGHT,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 11TH STREET SE,400735.213214635,135068.025754774,6,6B,1,107,Cluster 26,006900 1,006900,Precinct 91,38.8834488299,-76.9915262864,,2023/10/29 20:47:00+00,2023/10/29 20:48:00+00,431650336,
-76.9999569737461,38.90693934338,23424698,2023/11/14 12:02:02+00,DAY,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF FLORIDA AVENUE NE,400003.93,137674.76,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9069315538,-76.9999546898,,2023/10/27 18:00:00+00,2023/10/28 17:56:00+00,431650337,
-77.0076466333923,38.9118606221662,23424820,2023/11/18 14:01:59+00,DAY,OTHERS,THEFT/OTHER,2 - 99 BLOCK OF QUINCY PLACE NE,399337.01,138221.09,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9118528319,-77.0076443468,,2023/11/09 19:50:00+00,2023/11/09 20:50:00+00,431650338,
-77.0372368544459,38.9397463136499,23424851,2023/11/18 15:21:18+00,DAY,OTHERS,THEFT F/AUTO,1600 - 1699 BLOCK OF SHEPHERD STREET NW,396771.93,141317.27,4,4E,,,Cluster 18,002600 1,002600,Precinct 47,38.9397385188,-77.0372345569,,2023/11/12 00:00:00+00,2023/11/12 15:35:00+00,431650339,
-76.9226049846152,38.8887224843674,23177219,2023/10/28 04:18:03+00,MIDNIGHT,GUN,ROBBERY,1 - 84 BLOCK OF 55TH STREET SE,406714.8,135655.39,7,7C,6,604,Cluster 33,009903 2,009903,Precinct 105,38.8887146956,-76.9226027259,,2023/10/28 03:04:00+00,,431650716,
-76.9636791494711,38.8790011685461,23177529,2023/10/28 19:54:24+00,EVENING,OTHERS,ROBBERY,3008 - 3099 BLOCK OF MASSACHUSETTS AVENUE SE,403151.735712878,134574.029978315,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 132,38.878993383,-76.9636768784,,2023/10/28 19:00:00+00,2023/10/28 19:54:00+00,431650717,
-76.9476497764775,38.8966636721616,23177556,2023/10/28 20:27:42+00,EVENING,OTHERS,THEFT/OTHER,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,404541.47,136535.38,7,7F,6,602,Cluster 30,007803 1,007803,Precinct 99,38.8966558827,-76.9476475094,,2023/10/28 20:05:00+00,2023/10/28 20:15:00+00,431650718,
-77.0044954846125,38.9288068000931,23177585,2023/10/29 01:05:57+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,100 - 379 BLOCK OF MICHIGAN AVENUE NE,399610.4,140102.24,5,5F,5,502,Cluster 21,009201 2,009201,Precinct 74,38.9287990063,-77.0044931979,,2023/10/28 11:05:00+00,2023/10/28 21:54:00+00,431650719,
-76.9469671468099,38.8933572691211,23177997,2023/10/29 16:03:23+00,DAY,OTHERS,THEFT/OTHER,300 - 499 BLOCK OF 40TH STREET NE,404600.899906223,136168.377435795,7,7F,6,603,Cluster 32,009603 2,009603,Precinct 102,38.8933494806,-76.9469648801,,2023/10/29 15:41:00+00,,431650720,
-77.0199023520628,38.9135716625332,23178315,2023/10/30 06:15:54+00,MIDNIGHT,OTHERS,BURGLARY,1705 - 1799 BLOCK OF 6TH STREET NW,398274.12,138411.19,2,2G,3,308,Cluster 7,004801 2,004801,Precinct 21,38.9135638723,-77.0199000615,,2023/10/30 04:14:00+00,,431650721,
-77.0121759034153,38.9051739728478,23179428,2023/11/01 08:28:26+00,MIDNIGHT,OTHERS,THEFT/OTHER,1127 - 1199 BLOCK OF 1ST STREET NW,398944.09,137478.86,6,6E,1,102,Cluster 8,004704 2,004704,Precinct 1,38.9051661841,-77.0121736158,,2023/11/01 00:47:00+00,2023/11/01 00:48:00+00,431650722,
-76.9286452021765,38.9026649901483,23180073,2023/11/02 04:28:38+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,4900 - 5199 BLOCK OF JUST STREET NE,406189.555939697,137202.690972755,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,38.9026571985,-76.9286429402,,2023/11/02 02:25:00+00,2023/11/02 03:00:00+00,431650723,
-76.9680647874321,38.9239813627104,23180554,2023/11/03 01:40:14+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2600 - 2699 BLOCK OF 28TH STREET NE,402769.45,139567.05,5,5C,5,503,Cluster 22,011100 1,011100,Precinct 71,38.9239735685,-76.9680625124,,2023/11/02 23:30:00+00,,431650724,
-76.9958484040684,38.9244725516422,23180616,2023/11/03 04:42:43+00,MIDNIGHT,GUN,ROBBERY,701 - 709 BLOCK OF EDGEWOOD STREET NE,400360.2,139621.1,5,5F,5,502,Cluster 21,009204 2,009204,Precinct 74,38.9244647584,-76.9958461203,,2023/11/03 02:01:00+00,2023/11/04 02:06:00+00,431650725,
-77.027220413832,38.9321813821333,23181419,2023/11/04 18:46:20+00,DAY,OTHERS,THEFT F/AUTO,1000 - 1019 BLOCK OF PARK ROAD NW,397640.06,140477.19,1,1A,3,302,Cluster 2,002900 1,002900,Precinct 42,38.9321735885,-77.0272181199,,2023/11/04 17:35:00+00,2023/11/04 18:00:00+00,431650726,
-76.9983777264075,38.9458510258611,23181565,2023/11/05 01:33:19+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4600 - 4699 BLOCK OF 6TH PLACE NE,400140.83,141994.29,5,5A,4,405,Cluster 20,009504 2,009504,Precinct 67,38.9458432284,-76.9983754406,,2023/11/03 16:00:00+00,2023/11/05 00:36:00+00,431650727,
-77.0229458597823,38.9148378568465,23182046,2023/11/06 02:20:59+00,EVENING,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF 8TH STREET NW,398010.2,138551.81,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9148300665,-77.0229435682,,2023/11/05 20:28:00+00,2023/11/05 20:53:00+00,431650728,
-76.9254543254293,38.9023328846224,23182525,2023/11/06 18:45:39+00,DAY,OTHERS,MOTOR VEHICLE THEFT,900 - 919 BLOCK OF 52ND STREET NE,406466.364547954,137166.045756721,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,38.9023250928,-76.9254520644,,2023/11/06 18:08:00+00,2023/11/06 18:47:00+00,431650729,
-77.0923563462812,38.9217732682839,23183650,2023/11/08 19:23:02+00,DAY,OTHERS,BURGLARY,4600 - 4609 BLOCK OF FOXHALL CRESCENT NW,391991.3,139325.5,3,3D,2,205,Cluster 13,000804 1,000804,Precinct 8,38.9217654791,-77.0923540327,,2023/11/08 18:23:00+00,2023/11/08 18:45:00+00,431650730,
-76.9751148317011,38.9172942137185,23183790,2023/11/08 22:33:57+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,402158.31,138824.53,5,5C,5,505,Cluster 22,011100 3,011100,Precinct 72,38.9172864211,-76.9751125549,,2023/11/08 21:56:00+00,2023/11/08 22:30:00+00,431650731,
-77.002552292195,38.9056537338239,23183903,2023/11/09 02:23:48+00,EVENING,OTHERS,THEFT/OTHER,201 - 299 BLOCK OF M STREET NE,399778.82,137532.05,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.9056459446,-77.0025500075,NOMA,2023/11/09 00:00:00+00,2023/11/09 02:15:00+00,431650732,
-76.9687426542064,38.8751216817175,23183963,2023/11/09 04:17:59+00,MIDNIGHT,OTHERS,THEFT F/AUTO,2500 - 2599 BLOCK OF N STREET SE,402712.52595247,134143.215097916,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 111,38.8751138974,-76.9687403825,,2023/11/02 03:00:00+00,2023/11/02 09:10:00+00,431650733,
-76.9995218877232,38.9196607379835,23184705,2023/11/10 14:37:15+00,DAY,OTHERS,MOTOR VEHICLE THEFT,2200 - 2299 BLOCK OF 5TH STREET NE,400041.66,139086.94,5,5F,5,502,Cluster 21,008702 1,008702,Precinct 75,38.9196529458,-76.9995196031,,2023/11/09 21:00:00+00,2023/11/10 14:35:00+00,431650734,
-77.0343126177599,38.9342778197422,23185271,2023/11/11 17:40:51+00,DAY,OTHERS,THEFT/OTHER,1401 - 1499 BLOCK OF OAK STREET NW,397025.22,140710.12,1,1D,4,408,Cluster 2,002801 2,002801,Precinct 41,38.9342700259,-77.0343103214,,2023/11/08 00:30:00+00,2023/11/08 00:45:00+00,431650735,
-77.0249810378749,38.9126143617263,23186242,2023/11/13 18:54:42+00,DAY,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF R STREET NW,397833.63,138305.03,2,2G,3,307,Cluster 7,004901 1,004901,Precinct 21,38.9126065719,-77.0249787458,,2023/11/05 05:00:00+00,2023/11/05 08:00:00+00,431650736,
-77.0385893120998,38.9312652792206,23186270,2023/11/13 16:12:42+00,DAY,OTHERS,BURGLARY,1660 - 1699 BLOCK OF LAMONT STREET NW,396654.28,140375.85,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9312574862,-77.0385870146,,2023/11/13 14:15:00+00,,431650737,
-77.0726938046993,38.935085500605,23176179,2023/10/26 17:56:19+00,DAY,OTHERS,THEFT/OTHER,3400 - 3421 BLOCK OF WISCONSIN AVENUE NW,393697.56,140801.73,3,3A,2,204,Cluster 14,001002 4,001002,Precinct 29,38.9350777081,-77.0726914964,,2023/10/18 00:00:00+00,2023/10/18 03:15:00+00,431652442,
-77.0246367626532,38.9170041971694,23177055,2023/10/27 23:45:51+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,900 - 931 BLOCK OF U STREET NW,397863.62,138792.33,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9169964065,-77.0246344704,,2023/10/27 22:13:00+00,2023/10/27 22:14:00+00,431652443,
