X,Y,CCN,REPORT_DAT
-77.02491575,38.93761471,23173913,10/22/2023
-77.02330027,38.92953721,23173933,10/22/2023
-77.02191734,38.91335618,23173972,10/22/2023
-77.058879,38.93620283,23174433,10/23/2023
-77.02885783,38.90374538,23174904,10/24/2023
-76.97622252,38.89266146,23175326,10/24/2023
-77.03196398,38.90077911,23175358,10/24/2023
-77.08529059,38.95991976,23175763,10/29/2023
-76.97510631,38.92256021,23176914,10/27/2023
-77.00281636,38.87489481,23176921,10/27/2023
-76.98038889,38.89962291,23177094,10/28/2023
-77.00057351,38.90077204,23424213,11/2/2023
-77.00255229,38.90565373,23424240,11/2/2023
-76.99898363,38.88128138,23424420,11/7/2023
-77.01367476,38.91038856,23424470,11/8/2023
-77.04775791,38.89736207,23424547,11/9/2023
-76.99152857,38.88345662,23424695,11/14/2023
-76.99995697,38.90693934,23424698,11/14/2023
-77.00764663,38.91186062,23424820,11/18/2023
-77.03723685,38.93974631,23424851,11/18/2023
-76.92260498,38.88872248,23177219,10/28/2023
-76.96367915,38.87900117,23177529,10/28/2023
-76.94764978,38.89666367,23177556,10/28/2023
-77.00449548,38.9288068,23177585,10/29/2023
-76.94696715,38.89335727,23177997,10/29/2023
-77.01990235,38.91357166,23178315,10/30/2023
-77.0121759,38.90517397,23179428,11/1/2023
-76.9286452,38.90266499,23180073,11/2/2023
-76.96806479,38.92398136,23180554,11/3/2023
-76.9958484,38.92447255,23180616,11/3/2023
-77.02722041,38.93218138,23181419,11/4/2023
-76.99837773,38.94585103,23181565,11/5/2023
-77.02294586,38.91483786,23182046,11/6/2023
-76.92545433,38.90233288,23182525,11/6/2023
-77.09235635,38.92177327,23183650,11/8/2023
-76.97511483,38.91729421,23183790,11/8/2023
-77.00255229,38.90565373,23183903,11/9/2023
-76.96874265,38.87512168,23183963,11/9/2023
-76.99952189,38.91966074,23184705,11/10/2023
-77.03431262,38.93427782,23185271,11/11/2023
-77.02498104,38.91261436,23186242,11/13/2023
-77.03858931,38.93126528,23186270,11/13/2023
-77.0726938,38.9350855,23176179,10/26/2023
-77.02463676,38.9170042,23177055,10/27/2023
-77.03195322,38.91665119,23177659,10/29/2023
-76.97543576,38.89012013,23177681,10/29/2023
-76.98831058,38.90020898,23177805,10/29/2023
-76.97901153,38.87011643,23172933,10/22/2023
