X,Y,SHIFT,REPORT_DAT,CCN,OFFENSE,METHOD,DISTRICT
-77.02491575,38.93761471,MIDNIGHT,10/22/2023,23173913,ROBBERY,GUN,4
-77.02330027,38.92953721,MIDNIGHT,10/22/2023,23173933,ROBBERY,GUN,4
-77.02191734,38.91335618,DAY,10/22/2023,23173972,THEFT/OTHER,OTHERS,3
-77.058879,38.93620283,DAY,10/23/2023,23174433,THEFT/OTHER,OTHERS,2
-77.02885783,38.90374538,MIDNIGHT,10/24/2023,23174904,ROBBERY,GUN,2
-76.97622252,38.89266146,EVENING,10/24/2023,23175326,ROBBERY,OTHERS,1
-77.03196398,38.90077911,EVENING,10/24/2023,23175358,MOTOR VEHICLE THEFT,OTHERS,2
-77.08529059,38.95991976,DAY,10/29/2023,23175763,THEFT F/AUTO,OTHERS,2
-76.97510631,38.92256021,DAY,10/27/2023,23176914,THEFT F/AUTO,OTHERS,5
-77.00281636,38.87489481,DAY,10/27/2023,23176921,MOTOR VEHICLE THEFT,OTHERS,1
-76.98038889,38.89962291,EVENING,10/28/2023,23177094,THEFT/OTHER,OTHERS,5
-77.00057351,38.90077204,DAY,11/2/2023,23424213,THEFT/OTHER,OTHERS,1
-77.00255229,38.90565373,DAY,11/2/2023,23424240,THEFT/OTHER,OTHERS,5
-76.99898363,38.88128138,DAY,11/7/2023,23424420,THEFT F/AUTO,OTHERS,1
-77.01367476,38.91038856,DAY,11/8/2023,23424470,THEFT/OTHER,OTHERS,3
-77.04775791,38.89736207,DAY,11/9/2023,23424547,THEFT F/AUTO,OTHERS,2
-76.99152857,38.88345662,MIDNIGHT,11/14/2023,23424695,THEFT/OTHER,OTHERS,1
-76.99995697,38.90693934,DAY,11/14/2023,23424698,THEFT/OTHER,OTHERS,5
-77.00764663,38.91186062,DAY,11/18/2023,23424820,THEFT/OTHER,OTHERS,5
-77.03723685,38.93974631,DAY,11/18/2023,23424851,THEFT F/AUTO,OTHERS,0
-76.92260498,38.88872248,MIDNIGHT,10/28/2023,23177219,ROBBERY,GUN,6
-76.96367915,38.87900117,EVENING,10/28/2023,23177529,ROBBERY,OTHERS,6
-76.94764978,38.89666367,EVENING,10/28/2023,23177556,THEFT/OTHER,OTHERS,6
-77.00449548,38.9288068,EVENING,10/29/2023,23177585,MOTOR VEHICLE THEFT,OTHERS,5
-76.94696715,38.89335727,DAY,10/29/2023,23177997,THEFT/OTHER,OTHERS,6
-77.01990235,38.91357166,MIDNIGHT,10/30/2023,23178315,BURGLARY,OTHERS,3
-77.0121759,38.90517397,MIDNIGHT,11/1/2023,23179428,THEFT/OTHER,OTHERS,1
-76.9286452,38.90266499,MIDNIGHT,11/2/2023,23180073,MOTOR VEHICLE THEFT,OTHERS,6
-76.96806479,38.92398136,EVENING,11/3/2023,23180554,MOTOR VEHICLE THEFT,OTHERS,5
-76.9958484,38.92447255,MIDNIGHT,11/3/2023,23180616,ROBBERY,GUN,5
-77.02722041,38.93218138,DAY,11/4/2023,23181419,THEFT F/AUTO,OTHERS,3
-76.99837773,38.94585103,EVENING,11/5/2023,23181565,MOTOR VEHICLE THEFT,OTHERS,4
-77.02294586,38.91483786,EVENING,11/6/2023,23182046,THEFT F/AUTO,OTHERS,3
-76.92545433,38.90233288,DAY,11/6/2023,23182525,MOTOR VEHICLE THEFT,OTHERS,6
-77.09235635,38.92177327,DAY,11/8/2023,23183650,BURGLARY,OTHERS,2
-76.97511483,38.91729421,EVENING,11/8/2023,23183790,MOTOR VEHICLE THEFT,OTHERS,5
-77.00255229,38.90565373,EVENING,11/9/2023,23183903,THEFT/OTHER,OTHERS,5
-76.96874265,38.87512168,MIDNIGHT,11/9/2023,23183963,THEFT F/AUTO,OTHERS,6
-76.99952189,38.91966074,DAY,11/10/2023,23184705,MOTOR VEHICLE THEFT,OTHERS,5
-77.03431262,38.93427782,DAY,11/11/2023,23185271,THEFT/OTHER,OTHERS,4
-77.02498104,38.91261436,DAY,11/13/2023,23186242,THEFT F/AUTO,OTHERS,3
-77.03858931,38.93126528,DAY,11/13/2023,23186270,BURGLARY,OTHERS,3
-77.0726938,38.9350855,DAY,10/26/2023,23176179,THEFT/OTHER,OTHERS,2
-77.02463676,38.9170042,EVENING,10/27/2023,23177055,ASSAULT W/DANGEROUS WEAPON,GUN,3
-77.03195322,38.91665119,MIDNIGHT,10/29/2023,23177659,THEFT/OTHER,OTHERS,3
-76.97543576,38.89012013,EVENING,10/29/2023,23177681,THEFT F/AUTO,OTHERS,1
-76.98831058,38.90020898,MIDNIGHT,10/29/2023,23177805,ROBBERY,GUN,1
-76.97901153,38.87011643,DAY,10/22/2023,23172933,MOTOR VEHICLE THEFT,OTHERS,6
-76.9706425,38.86528504,EVENING,10/23/2023,23174291,MOTOR VEHICLE THEFT,OTHERS,6
-77.06140106,38.93824921,MIDNIGHT,10/23/2023,23174356,THEFT/OTHER,OTHERS,2
-76.9724116,38.91912941,EVENING,10/24/2023,23174719,THEFT F/AUTO,OTHERS,5
-76.97568839,38.88949116,MIDNIGHT,11/2/2023,23173555,THEFT F/AUTO,OTHERS,1
-77.03325664,38.90965936,EVENING,11/13/2023,23186420,THEFT/OTHER,OTHERS,2
-76.98488144,38.92120406,DAY,11/14/2023,23186817,MOTOR VEHICLE THEFT,OTHERS,5
-76.97834145,38.92824123,MIDNIGHT,11/15/2023,23187260,BURGLARY,OTHERS,0
-77.058879,38.93620283,EVENING,11/15/2023,23187575,THEFT/OTHER,OTHERS,2
-77.02510435,38.94028518,EVENING,11/16/2023,23187716,THEFT/OTHER,OTHERS,4
-76.93126383,38.87759209,DAY,11/16/2023,23187981,THEFT/OTHER,OTHERS,6
-76.99731565,38.88427862,EVENING,11/16/2023,23188108,THEFT/OTHER,OTHERS,1
-77.02508897,38.96671608,EVENING,11/17/2023,23188667,ROBBERY,GUN,4
-77.0106955,38.8677715,EVENING,11/18/2023,23188755,ROBBERY,GUN,1
-77.03643111,38.94347492,DAY,11/19/2023,23189617,THEFT F/AUTO,OTHERS,4
-77.02307402,38.95421979,DAY,11/20/2023,23190041,THEFT F/AUTO,OTHERS,4
-76.9973071,38.90021115,EVENING,11/20/2023,23190166,THEFT F/AUTO,OTHERS,1
-76.95866284,38.8852211,EVENING,11/21/2023,23190247,THEFT/OTHER,OTHERS,6
-77.00403438,38.8775382,EVENING,11/21/2023,23190271,MOTOR VEHICLE THEFT,OTHERS,1
-76.92051575,38.89527062,EVENING,10/24/2023,23175190,ASSAULT W/DANGEROUS WEAPON,GUN,6
-76.9869109,38.88284681,EVENING,10/25/2023,23175345,BURGLARY,OTHERS,1
-77.01432715,38.97484567,EVENING,10/25/2023,23175843,THEFT/OTHER,OTHERS,4
-77.01989985,38.91409892,DAY,10/22/2023,23173998,THEFT F/AUTO,OTHERS,3
-77.05808284,38.93483207,DAY,10/22/2023,23174050,THEFT/OTHER,OTHERS,2
-77.04295164,38.93508427,EVENING,10/22/2023,23174234,THEFT F/AUTO,OTHERS,3
-77.00502202,38.87885636,MIDNIGHT,11/4/2023,23181001,THEFT/OTHER,OTHERS,1
-76.98155566,38.84654551,MIDNIGHT,11/5/2023,23181442,THEFT F/AUTO,OTHERS,7
-76.99111984,38.93402912,MIDNIGHT,11/5/2023,23181696,MOTOR VEHICLE THEFT,OTHERS,5
-77.07002414,38.95536965,EVENING,11/6/2023,23182150,THEFT/OTHER,OTHERS,2
-77.04418254,38.90046272,DAY,11/6/2023,23182475,THEFT/OTHER,OTHERS,2
-76.98007655,38.84629016,DAY,11/7/2023,23182968,THEFT/OTHER,OTHERS,7
-76.97309013,38.86191152,EVENING,11/7/2023,23183030,BURGLARY,OTHERS,0
-76.99111984,38.93402912,DAY,11/8/2023,23183547,THEFT/OTHER,OTHERS,5
-77.02189701,38.91701817,MIDNIGHT,11/9/2023,23183937,MOTOR VEHICLE THEFT,OTHERS,3
-77.00415151,38.92576723,DAY,11/9/2023,23184067,MOTOR VEHICLE THEFT,OTHERS,5
-77.03273216,38.92952468,EVENING,11/9/2023,23184302,THEFT/OTHER,OTHERS,3
-76.95638368,38.88519671,EVENING,11/10/2023,23184810,THEFT/OTHER,OTHERS,6
-77.02885156,38.90133592,DAY,11/11/2023,23185321,THEFT F/AUTO,OTHERS,2
-77.02191885,38.89913749,MIDNIGHT,11/15/2023,23187250,THEFT/OTHER,OTHERS,1
